2025-03-06T06:31:52+03:00
Running ./bench/bench
Run on (11 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x11)
Load Average: 1.43, 1.52, 1.59
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"bitonic_time (ms)","size","std_time (ms)"
"SortCompareFixture/CompareSorts/1/iterations:100",100,1.32066e+09,8.60171e+08,ns,,,,,,8.33525,400493,15.8408
"SortCompareFixture/CompareSorts/2/iterations:100",100,1.59028e+09,1.07784e+09,ns,,,,,,8.23108,500914,20.2439
"SortCompareFixture/CompareSorts/3/iterations:100",100,2.49319e+09,1.62981e+09,ns,,,,,,14.8906,745547,30.5638
"SortCompareFixture/CompareSorts/4/iterations:100",100,4.82821e+09,3.36451e+09,ns,,,,,,31.0677,1.44733e+06,63.3205
"SortCompareFixture/CompareSorts/5/iterations:100",100,5.90652e+09,4.411e+09,ns,,,,,,31.0064,1.91053e+06,84.0659
"SortCompareFixture/CompareSorts/6/iterations:100",100,9.94191e+09,6.5002e+09,ns,,,,,,71.6162,2.72033e+06,121.584
"SortCompareFixture/CompareSorts/7/iterations:100",100,1.01019e+10,6.73458e+09,ns,,,,,,71.7441,2.82223e+06,126.384
"SortCompareFixture/CompareSorts/8/iterations:100",100,1.08879e+10,7.44605e+09,ns,,,,,,75.4944,3.06699e+06,140.763
"SortCompareFixture/CompareSorts/9/iterations:100",100,1.22457e+10,8.76216e+09,ns,,,,,,70.4727,3.62783e+06,166.947
"SortCompareFixture/CompareSorts/10/iterations:100",100,1.76989e+10,1.07369e+10,ns,,,,,,147.12,4.29092e+06,200.345
